               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10254,            0.018178,                   0,          0.00011218,            0.033654,          5.8221e-05,           1.275e-05,            0.087825,            0.014906,                   0,             0.00077,             0.00077,             0.09307
                   1,            0.079323,            0.014412,                   0,             0.03552,            0.036058,           0.0069097,           0.0011882,            0.075311,            0.013752,                   0,           0.0015486,           0.0015486,            0.086049
                   2,            0.068838,             0.01304,                   0,             0.24837,              0.3101,             0.14223,            0.030073,            0.064876,            0.011396,                   0,           0.0023217,           0.0023217,            0.079022
                   3,            0.066466,            0.011711,                   0,             0.32192,               0.375,             0.23168,            0.064095,            0.057508,             0.01003,                   0,           0.0030852,           0.0030852,            0.071985
                   4,            0.058211,             0.01024,                   0,             0.35763,             0.42308,              0.2245,             0.05254,            0.058721,           0.0089943,                   0,            0.003835,            0.003835,            0.064935
                   5,            0.060533,           0.0098409,                   0,             0.46321,             0.35577,              0.3216,            0.083587,            0.059441,           0.0091145,                   0,           0.0045671,           0.0045671,            0.057867
                   6,            0.056898,            0.008882,                   0,              0.5155,             0.43269,             0.36859,              0.1051,            0.053569,           0.0089933,                   0,           0.0052778,           0.0052778,            0.050778
                   7,              0.0533,           0.0081428,                   0,             0.55225,             0.31731,             0.29416,            0.090867,            0.054684,           0.0094385,                   0,           0.0059632,           0.0059632,            0.043663
                   8,            0.054089,           0.0075607,                   0,             0.40588,             0.37935,             0.30826,            0.081782,            0.056785,           0.0092292,                   0,           0.0066198,           0.0066198,             0.03652
                   9,            0.054241,            0.007961,                   0,             0.47914,             0.36929,             0.31374,            0.092288,             0.05799,           0.0084549,                   0,           0.0072443,           0.0072443,            0.029344
                  10,            0.055537,           0.0080937,                   0,             0.39875,              0.3101,              0.2016,            0.045047,            0.060045,           0.0081606,                   0,           0.0078335,           0.0078335,            0.022133
                  11,            0.056658,           0.0079973,                   0,             0.38626,             0.30529,             0.24253,            0.067852,            0.058733,           0.0094321,                   0,           0.0083844,           0.0083844,            0.014884
                  12,            0.051973,           0.0075414,                   0,             0.47145,             0.16106,              0.1363,            0.040686,              0.0641,            0.010335,                   0,           0.0087804,           0.0087804,           0.0087804
                  13,            0.056631,           0.0073914,                   0,             0.30586,             0.26923,             0.17739,            0.052764,            0.060692,           0.0096593,                   0,           0.0087804,           0.0087804,           0.0087804
                  14,            0.055862,           0.0079044,                   0,             0.27242,             0.20192,             0.15808,            0.047854,            0.063992,             0.01015,                   0,           0.0085805,           0.0085805,           0.0085805
                  15,            0.051436,           0.0077254,                   0,             0.32415,             0.30529,              0.2344,            0.063664,            0.059128,             0.00962,                   0,           0.0083684,           0.0083684,           0.0083684
                  16,            0.053439,           0.0074535,                   0,             0.63287,             0.39781,             0.40719,             0.10171,            0.053717,           0.0079066,                   0,            0.008145,            0.008145,            0.008145
                  17,            0.051237,           0.0073991,                   0,             0.69238,             0.50962,             0.55165,             0.16155,            0.051759,           0.0064945,                   0,           0.0079112,           0.0079112,           0.0079112
                  18,            0.049797,           0.0069964,                   0,             0.74697,             0.63942,             0.63485,             0.20266,            0.046427,           0.0062534,                   0,           0.0076679,           0.0076679,           0.0076679
                  19,            0.049852,           0.0070335,                   0,             0.66434,             0.56731,             0.58785,             0.19481,            0.045622,           0.0066587,                   0,            0.007416,            0.007416,            0.007416
                  20,            0.044665,            0.006414,                   0,             0.76454,             0.71809,             0.73363,             0.25274,            0.043799,           0.0058052,                   0,           0.0071566,           0.0071566,           0.0071566
                  21,            0.046266,           0.0064858,                   0,             0.49113,             0.28304,             0.26075,            0.078788,            0.057792,            0.011263,                   0,           0.0068906,           0.0068906,           0.0068906
                  22,            0.047036,           0.0065476,                   0,             0.77568,             0.48798,             0.54138,             0.16911,            0.046749,           0.0081671,                   0,           0.0066191,           0.0066191,           0.0066191
                  23,            0.042765,           0.0065602,                   0,             0.80558,             0.68029,             0.71944,             0.26497,            0.041702,           0.0061556,                   0,           0.0063432,           0.0063432,           0.0063432
                  24,            0.041279,           0.0060319,                   0,             0.72466,             0.61538,             0.62975,             0.20376,            0.046046,           0.0067173,                   0,            0.006064,            0.006064,            0.006064
                  25,            0.040577,           0.0053125,                   0,             0.85236,             0.73553,             0.77403,             0.27298,            0.041273,           0.0052386,                   0,           0.0057826,           0.0057826,           0.0057826
                  26,            0.041268,           0.0056654,                   0,             0.86812,             0.77644,             0.82603,             0.26937,            0.041968,           0.0051196,                   0,              0.0055,              0.0055,              0.0055
                  27,            0.040199,           0.0055891,                   0,             0.86665,             0.78125,             0.81628,             0.30039,            0.040447,           0.0049457,                   0,           0.0052174,           0.0052174,           0.0052174
                  28,            0.042068,           0.0058172,                   0,             0.82922,             0.70433,             0.73979,             0.24285,            0.043235,           0.0053821,                   0,            0.004936,            0.004936,            0.004936
                  29,            0.040641,           0.0056582,                   0,             0.85203,             0.80284,             0.83699,             0.32464,            0.038662,           0.0048783,                   0,           0.0046568,           0.0046568,           0.0046568
                  30,            0.036871,           0.0052758,                   0,             0.86626,             0.84135,             0.86601,             0.34088,            0.037599,           0.0047616,                   0,           0.0043809,           0.0043809,           0.0043809
                  31,            0.036348,           0.0052378,                   0,             0.85206,             0.87223,             0.86492,             0.35209,            0.036899,           0.0046419,                   0,           0.0041094,           0.0041094,           0.0041094
                  32,            0.036039,            0.005214,                   0,             0.89105,             0.80769,             0.83779,             0.34275,            0.038884,            0.004612,                   0,           0.0038434,           0.0038434,           0.0038434
                  33,            0.037298,           0.0050567,                   0,             0.89072,             0.84375,             0.87542,             0.35251,            0.037261,           0.0046335,                   0,            0.003584,            0.003584,            0.003584
                  34,            0.037072,           0.0052839,                   0,             0.89204,             0.87981,             0.87612,             0.35957,            0.036714,           0.0045727,                   0,           0.0033321,           0.0033321,           0.0033321
