               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092984,            0.016601,                   0,             0.22172,             0.23683,             0.12802,            0.033596,              0.0667,            0.012623,                   0,           0.0033149,           0.0033149,            0.070166
                   1,            0.071127,            0.011843,                   0,             0.25148,             0.22703,             0.14341,            0.031578,            0.072655,           0.0089174,                   0,           0.0065166,           0.0065166,            0.040034
                   2,            0.072336,            0.009771,                   0,             0.34739,             0.22929,             0.15599,            0.040603,            0.072323,           0.0086171,                   0,           0.0095863,           0.0095863,           0.0097705
                   3,            0.073235,           0.0094358,                   0,             0.29148,             0.19798,             0.14094,            0.031839,            0.071997,           0.0090019,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.070081,           0.0094062,                   0,             0.34354,             0.21616,             0.16827,            0.038736,            0.070049,           0.0089038,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.064407,           0.0086581,                   0,             0.45906,             0.30101,             0.26143,            0.071396,            0.063725,           0.0077493,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.062876,           0.0085761,                   0,             0.51722,             0.49596,             0.45137,              0.1269,            0.054965,           0.0065455,                   0,             0.00901,             0.00901,             0.00901
                   7,              0.0609,           0.0081253,                   0,             0.49804,             0.42494,             0.37405,             0.10694,            0.057317,           0.0069385,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.059233,           0.0079807,                   0,             0.54023,             0.44626,             0.39784,             0.11091,            0.057901,           0.0067526,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.057338,           0.0076423,                   0,             0.59869,             0.52424,             0.50504,              0.1558,            0.053651,           0.0062253,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.055306,           0.0074861,                   0,             0.68133,             0.54206,             0.53089,             0.17438,            0.050593,           0.0058618,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.053715,           0.0073274,                   0,             0.56323,             0.42984,             0.41668,             0.13231,            0.056146,           0.0071116,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.053934,           0.0073496,                   0,             0.68915,             0.59596,             0.58473,             0.18953,            0.049768,           0.0056187,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.052691,           0.0071242,                   0,             0.68793,              0.5798,             0.55678,             0.17981,            0.051593,           0.0057589,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.051922,           0.0071141,                   0,             0.71663,             0.59264,             0.60625,             0.19986,            0.049954,           0.0055021,                   0,            0.007426,            0.007426,            0.007426
